tweet,label
<username> <username> <username> <username> <username> Di sini saya berbicara dalam konteks sebagai warga negara non\u2026 <link>,0
Beneran pengen tau tanggapan mereka . <username> <username> <username> <username> <username> <username> <username> <username> Gerakan <hashtag> dan acara tadi pagi ditaman bungkul <link>,0
Anda anggota DPRD lama <username> tapi mungkin mental MALING . <link>,0
<username> <username> Sekali sekali dea pengen punya circle sosialita lin,0
Kamu tau tidak..? Pasti tidak .. Goblok kamu memang ..,0
Anies Janji Izinkan Reuni 212 Tahun Depan Digelar di Monas <hashtag> <hashtag> <hashtag> <hashtag> <link>,0
Terimakasih atas pengkhianatan ini Terimakasih atas antipati perjuangan kami Terimakasih atas tidak didengarnya aspirasi kami Saatnyaa ... <hashtag>,1
Stlh Kerajaan Kerathon Sejagad kini ada lg SUNDA EMPIRE .Ketololan yang HQQ .??,1
Horeeee......?????? Mantaaab ?? Kelakuan bejat Andre Dengan menjebak NN Bakal diseret ke meja hijau. Dukung NN dengan: <hashtag>,1
Partai Allah mah Bebas Sajadahpun boleh diinjak2 <hashtag>,1
Sssstttt liatin aja sambil makan gorengan <hashtag>,0
Berhentilah jadi <hashtag> dngan mengeluhi rezeki apa dan berapa yg km dapatkan hari ini berkaca saja pda pemulung yg belum tentu dpt makan,0
menang kami bangga kalah kami setia ðŸ”¥ðŸ”¥,0
<username> <username> <username> Dasar licik kau Bud ! Omong doang yg besar . bangsa ini tidak perlu kau ada di sini,0
<username> <username> Fadli Zonk itu semacam biji kutilnya Pak Wo,0
<username> <username> Mangkane nak ngomong ojo asal mangap nil konfirmasi dl bener gak A1 info ini soal gaji pak Prabowo .. jubir anyar maklum lah,0
Buat para pembenci Selamat anda dipimpin oleh orang yang anda benci kembali . Dan selamat menikmati ketidksukaannya ditunggu status-status nyalahin pemerintahnya . <hashtag> pic .twitter .com/n3GaTERfKC,1
Kapolri Idham Aziz berjanji untuk memberikan pengabdian yang terbaik bagi institusi Polri masyarakat negara dan bangsa . Semangat jendral . Pastikan tidak ada lagi radikalisme di bumi pertiwi ini . <username> <username> <username> <username> <username> <hashtag> <link>,0
Dokter bisa beli mobil tukang parkir hanya bisa jaga mobil,1
WKWK sarkasme sama litotesnya dapet banget masss :))) <link>,0
Seberapa yakin kalian kalau nanti pak <username> akan memilih <username> sebagai salah satu badan pengawas <username> ?? <hashtag>,0
Sekarang ada yang menerima hasil dari tuduhannya sendiri terlalu picik memang .,0
<username> salam generasi optimis ! jauhjauh deh segala pesimisme dari bangsa ini,0
<username> Halah Tompilasi ... eh maksudnya Tompi lagi Nge gas sembarangan bahaya tuh nanti lu jatuh ke jurang,0
<username> Faktor tempat pengaruh Om ... wols aja ... gak perlu keluar kata2 Goblok sprt itu ...,0
pas kegeledah kemaren malam . polisi nemuin sabu sabu kondom juga seorang wanita . idih kok si <hashtag>,0
<username> ya allah aku bacanya tolol mau dikomplain awalnya alamak :(,0
<username> <username> <username> <username> semanagt broo .. millenial harus tunjukan kinerja rakyat ... salah kalo si ketua bilang *anak baru*.. tidak ada namanya senioritas tapi netralitas kita butuhkan ... anda itu mewakili rakyat bukan pejabat ... kita dukung,0
Awas setang putar so ja ba jadi Fakta tapi di blg Hoax . Hahaba <hashtag> <hashtag> <hashtag>,0
